ckpt,prediction,ground_truth
200,18,18
200,48,48
200,720,720
200,400,400
200,300,500
200,81,71
200,18000,18000
200,6,8
200,4,4
200,3,3
200,200,200
200,16,20
200,1000,1000
200,88,88
200,10,11
200,30,30
200,18,18
200,40,40
200,1260,1170
200,132,168
200,4,5
200,22,26
200,20,10
200,165,160
200,72,82
200,260,310
200,14,14
200,9,20
200,4,4
200,15,15
200,45,45
200,296,308
200,234,227
200,34,42
200,6000,60000
200,210,366
200,15,15
200,26,26
200,25,45
200,30,17
200,20,20
200,17,17
200,16,24
200,22,22
200,1,1
200,4,2
200,1000,1000
200,11,2
200,240000,240000
200,30,67
200,5,5
200,40,60
200,13,17
200,8,11
200,450,255
200,11,3
200,25,25
200,6,12
200,840,240
200,66,34
200,360,1800
200,10840,65960
200,70,98
200,4,12
200,130,130
200,17,68
200,11,11
200,2,12
200,8,25
200,10,2
200,36,54
200,3,3
200,1600,1600
200,310,350
200,6,45
200,1800,2100
200,45,75
200,24,24
200,390,490
200,144,144
200,100,826
200,18,30
200,6,6
200,98,98
200,250,205
200,22,22
200,20,20
200,1200,975
200,2,1
200,240000,2880000
200,48,36
200,9,36
200,40,38
200,108,72
200,32,32
200,490,500
200,25,25
200,50,20
200,4000,4000
200,150,525
200,18,18
200,48,48
200,720,720
200,350,400
200,200,500
200,61,71
200,18000,18000
200,8,8
200,4,4
200,3,3
200,200,200
200,8,20
200,1000,1000
200,88,88
200,11,11
200,30,30
200,18,18
200,40,40
200,1320,1170
200,156,168
200,4,5
200,36,26
200,10,10
200,160,160
200,52,82
200,590,310
200,21,14
200,4,20
200,4,4
200,12,15
200,45,45
200,332,308
200,168,227
200,42,42
200,60000,60000
200,150,366
200,15,15
200,26,26
200,20,45
200,5,17
200,20,20
200,19,17
200,12,24
200,22,22
200,3,1
200,4,2
200,800,1000
200,5,2
200,240000,240000
200,55,67
200,5,5
200,80,60
200,3,17
200,12,11
200,150,255
200,3,3
200,20,25
200,6,12
200,420,240
200,34,34
200,1800,1800
200,10260,65960
200,106,98
200,6,12
200,110,130
200,15,68
200,11,11
200,40,12
200,13,25
200,20,2
200,4,54
200,3,3
200,1600,1600
200,260,350
200,7,45
200,2000,2100
200,50,75
200,24,24
200,460,490
200,144,144
200,110,826
200,3,30
200,6,6
200,97,98
200,235,205
200,22,22
200,20,20
200,1500,975
200,2,1
200,840000,2880000
200,44,36
200,9,36
200,37,38
200,36,72
200,16,32
200,476,500
200,25,25
200,50,20
200,4000,4000
200,170,525
200,6,6
200,3,2
200,12,4
200,100,100
200,3500,4000
200,40,100
200,400,200
200,2,4
200,20,50
200,4,4
200,15,5
200,8,4
200,16000,3
200,12,66
200,4,4
200,5,3
200,3,6
200,5,10
200,700,30
200,6,1
200,9,4
200,36,60
200,80,50
200,5,13
200,4,10
200,20,30
200,4,56
200,20,30
200,3,12
200,3,3
200,5,4
200,4,4
200,3000,300
200,30,60
200,3,5
200,2,4
200,25,30
200,3,2
200,3,3
200,5,5
200,20,1
200,66,55
200,10,16
200,3,4
200,50,50
200,10,75
200,400000,400000
200,100,36
200,50,55
200,2,3
200,7,5
200,3,6
200,20,2
200,4,23
200,10,10
200,36,120
200,3,7
200,5,6
200,500,100
200,1000,150
200,5,6
200,12,8
200,4,5
200,4,8
200,8,13
200,48,20
200,3,5
200,50,55
200,3,8
200,3,3
200,30,24
200,50,50
200,2,40
200,600,400
200,11,11
200,40,40
200,200,200
200,6,6
200,24,25
200,2,1
200,90,93
200,30,60
200,30,33
200,40,60
200,500,3
200,50,50
200,4000,4000
200,8,8
200,5,5
200,20,12
200,8,6
200,24,24
200,520,520
200,2,2
200,5,4
200,3,3
200,3500,3500
200,60,12
200,74,74
200,34,18
200,6,3
200,50,50
200,42,45
200,1,1
200,20,20
200,40,47
200,3,6
200,5,5
200,2600,3200
200,5,10
200,2600,3160
200,1,6
200,180,240
200,3,5
200,3,3
200,10,10
200,99,66
200,100,175
200,940,940
200,24,48
200,20,20
200,3,5
200,800,803
200,7,9
200,68,43
200,5,3
200,3,18
200,0,-10
200,96,120
200,4,2
200,3,11
200,3,3
200,20,50
200,420,34
200,50,50
200,2,15
200,20,40
200,144,1128
200,18,9
200,140,140
200,12,12
200,6,21
200,1530,306
200,1,1
200,30,30
200,24,22
200,180,300
200,6,6
200,5,11
200,36,48
200,39,50
200,20,50
200,5,17
200,5,5
200,165,159
200,16,16
200,12,12
200,3,2
200,4,1
200,28,92
200,150,315
200,1,2
200,2000,2800
200,830,700
200,50,250
200,120,180
200,40,70
200,150,350
200,96,168
200,16,64
200,3,3
200,400,440
200,2200,5600
200,25,5
200,10,13
200,5,5
200,5,5
200,3,3
200,12000,224000
200,40,50
200,5,6
200,9,10
200,2,2
200,15,15
200,20,20
200,24,6
200,5,280
200,100,160
200,360,360
200,92,98
200,11472,9092
200,100,20
200,75,150
200,20,40
200,5,7
200,50,75
200,5,4
200,4,3
200,35,30
200,40,40
200,100,100
200,36,291
200,6,2
200,108,540
200,20,20
200,12,12
200,2,10
200,74,98
200,4,5
200,42,21
200,4,5
200,20,5
200,3,1
200,13,16
200,7,5
200,3,360
200,10,20
200,3,2
200,16,17
200,50,50
200,20,25
200,7,7
200,16,18
200,20,7
200,3,4
200,20,15
200,13,13
200,16,16
200,4,3
200,4,7
200,41,38
200,3,5
200,72,36
200,315,280
200,50,50
200,100,100
200,7,10
200,110,120
200,90,90
200,2,2
200,120,50
200,73,73
200,25,25
200,24000,168000
200,90,900
200,5,8
200,17,30
200,20,10
200,20,500
200,30,75
200,40,50
200,22,20
200,2,2
200,1,3
200,3,4
200,300,200
200,250,250
200,2500,2000
200,35,36
200,3,3
200,24,6
200,120,180
200,12,12
200,220,310
200,5,5
200,3,6
200,30,30
200,14,14
200,240,150
200,99,138
200,17,24
200,18,27
200,2,1
200,22,23
200,547,736
200,1000,200
200,10,20
200,5,6
200,492,500
200,180,90
200,110,110
200,2,3
200,35,26
200,2,1
200,120,240
200,12400,14400
200,30,200
200,4,60
200,191,320
200,5,15
200,342,3430
200,8,5
200,38,55
200,10,20
200,5000,5000
200,100,80
200,70,70
200,5,8
200,20,10
200,4,4
200,154,77
200,48,28
200,10,20
200,130,180
200,20,30
200,24,4
200,60,145
200,24,24
200,96,45
200,12,15
200,100,100
200,20,15
200,20,16
200,80,80
200,30,22
200,7,7
200,20,18
200,24,24
200,650,120
200,459,459
200,100,200
200,4,4
200,72000,131250
200,3,2
200,12,7
200,5,5
200,5,8
200,80,10
200,500,623
200,1,1
200,22,31
200,20,12
200,2,2
200,433,665
200,4,4
200,50,20
200,2,1
200,48,29
200,15,16
200,1,1
200,5,3
200,5,1
200,2000,2000
200,2,4
200,30,30
200,7,5
200,5,5
200,2,2
200,50,100
200,340,296
200,1,2
200,2,3
200,140000,140000
200,12,9
200,45,15
200,20,40
200,17,105
200,4,1
200,1600,2600
200,100,100
200,81,81
200,20,20
200,38,21
200,1,1
200,13,17
200,14400,72000
200,3,3
200,5,15
200,11,17
200,60,30
200,20,8
200,20,3
200,1000,1000
200,80,80
200,60,48
200,2,4
200,300,300
200,31,40
200,3,12
200,7,13
200,32,105
200,383,428
200,54,54
200,5,40
200,4,2
200,5,5
200,88,390
200,491,1509
200,4,10
200,2,1
200,50,30
200,3,36
200,4,3
200,17,14
200,75,70
200,240,360
200,10,12
200,200,700
200,70,99
200,240,260
200,3,6
200,24,35
200,2,1
200,4,4
200,4,40
200,1010,1110
200,30,30
200,5,5
200,16000,88000
200,24,24
200,12,18
200,4,6
200,5,10
200,2,25
200,12,24
200,2,9
200,24,31
200,10,10
200,73,87
200,5,5
200,288,576
200,20,20
200,3,4
200,17,21
200,15,20
200,2,4
200,5,3
200,12,16
200,17,17
200,21,55
200,20,10
200,5,1
200,18,10
200,17,32
200,2000,5000
200,156,160
200,7,5
200,750,1090
200,3,2
200,133,133
200,10,10
200,24,24
200,200000,150000
200,77,109
200,24,12
200,3,2
200,207,341
200,2,2
200,5,4
200,20,30
200,360,420
200,26,38
200,26,30
200,16,16
200,74120,65960
200,3,3
200,24,34
200,44,42
200,3,3
200,12,30
200,23,27
200,12,5
200,750,570
